index,value
23,Following the London and Paris Conferences West Germany was permitted to rearm militarily as they joined NATO in May which was in turn major factor in the creation of the Soviet-dominated Warsaw Pact delineating the two opposing sides of the Cold War
24,citation needed
25,The building of the Berlin Wall in marked height in Cold War tensions when US troops were stationed in Europe
26,Doubts over the strength of the relationship between the European states and the United States ebbed and flowed along with doubts over the credibility of the NATO defence against prospective Soviet invasion doubts that led to the development of the independent French nuclear deterrent and the withdrawal of France from NATO military structure in
27,In the newly democratic Spain joined the alliance
28,The Revolutions of in Europe led to strategic re-evaluation of NATO purpose nature tasks and focus on that continent
29,In October East Germany became part of the Federal Republic of Germany and the alliance and in November the alliance signed the Treaty on Conventional Armed Forces in Europe CFE in Paris with the Soviet Union
30,It mandated specific military reductions across the continent which continued after the collapse of the Warsaw Pact in February and dissolution of the Soviet Union in that December which removed the de facto main adversaries of NATO
31,This began draw-down of military spending and equipment in Europe
32,The CFE treaty allowed signatories to remove pieces of conventional armaments in the following sixteen years and allowed military spending by NATO European members to decline by per cent from to
33,In assurances were given by several Western leaders to Mikhail Gorbachev that NATO would not expand further east as revealed by memoranda of private conversations
34,However the final text of the Treaty on the Final Settlement with Respect to Germany signed later that year contained no mention of the issue of eastward expansion
35,In the the organization extended its activities into political and humanitarian situations that had not formerly been NATO concerns
36,During the break-up of Yugoslavia the organization conducted its first military interventions in Bosnia from to and later Yugoslavia in
37,These conflicts motivated major post-Cold War military restructuring
38,NATO military structure was cut back and reorganized with new forces such as the Headquarters Allied Command Europe Rapid Reaction Corps established
39,The changes brought about by the collapse of the Soviet Union on the military balance in Europe since the CFE treaty were recognized in the Adapted Conventional Armed Forces in Europe Treaty which was signed at the Istanbul summit
40,citation needed
41,Politically the organization sought better relations with the newly autonomous Central and Eastern European nations and diplomatic forums for regional cooperation between NATO and its neighbours were set up during this post-Cold War period including the Partnership for Peace and the Mediterranean Dialogue initiative in the Euro-Atlantic Partnership Council in and the NATO–Russia Permanent Joint Council in
42,At the Washington summit Hungary Poland and the Czech Republic officially joined NATO and the organization also issued new guidelines for membership with individualized Membership Action Plans
43,These plans governed the addition of new alliance members Bulgaria Estonia Latvia Lithuania Romania Slovakia and Slovenia in Albania and Croatia in Montenegro in and North Macedonia in
44,The election of French President Nicolas Sarkozy in led to major reform of France military position culminating with the return to full membership on April which also included France rejoining the NATO Military Command Structure while maintaining an independent nuclear deterrent
45,Article of the North Atlantic treaty requiring member states to come to the aid of any member state subject to an armed attack was invoked for the first and only time after the September attacks after which troops were deployed to Afghanistan under the NATO-led ISAF
46,The organization has operated range of additional roles since then including sending trainers to Iraq assisting in counter-piracy operations and in enforcing no-fly zone over Libya in accordance with UN Security Council Resolution
47,Article which invokes consultation among NATO members has been invoked seven times following incidents in the Iraq War Syrian Civil War and Russia annexation of Crimea and invasion of Ukraine
48,The annexation of Crimea led to strong condemnation by NATO nations
49,At the subsequent Wales summit the leaders of NATO member states formally committed for the first time to spend the equivalent of at least per cent of their gross domestic products on defence by which had previously been only an informal guideline
50,In only out of NATO members reached this target including the US by this had increased to
51,Taken together in the non-US member states had six consecutive years of defence spending growth bringing their average spending to
52,per cent of GDP
53,Lack of firm financial commitments and the dependency on the US military are ongoing problems for the alliance
54,At the Warsaw summit NATO countries agreed on the creation of NATO Enhanced Forward Presence which deployed four multinational battalion-sized battlegroups in Estonia Latvia Lithuania and Poland
55,NATO did not condemn the purges in Turkey
56,As result of the Turkish invasion of Kurdish-inhabited areas in Syria Turkey intervention in Libya and the Cyprus–Turkey maritime zones dispute there are signs of schism between Turkey and other NATO members
57,NATO members have resisted the UN Nuclear Weapon Ban Treaty binding agreement for negotiations for the total elimination of nuclear weapons supported by more than nations
58,In the prelude to the Russian invasion of Ukraine several NATO countries sent ground troops warships and fighter aircraft to reinforce the alliance eastern flank
59,The aircraft carrier USS Harry
60,Truman and its carrier strike group were placed under the command of Naval Striking and Support Forces NATO marking the first time an entire US carrier group was placed under NATO command since the Cold War
61,Eight NATO countries—Bulgaria the Czech Republic Estonia Latvia Lithuania Poland Romania and Slovakia—triggered Article following the Russian invasion of Ukraine
62,The North Atlantic Council issued statement in which it condemned the invasion in the strongest possible terms
63,Elements of the NATO Response Force were activated for the first time in NATO history
64,In March NATO leaders met at Brussels for an extraordinary summit which also involved Group of Seven and European Union leaders
65,NATO member states agreed to establish four additional battlegroups in Bulgaria Hungary Romania and Slovakia
66,No military operations were conducted by NATO during the Cold War
67,Following the end of the Cold War the first operations Anchor Guard in and Ace Guard in were prompted by the Iraqi invasion of Kuwait
68,Airborne early warning aircraft were sent to provide coverage of southeastern Turkey and later quick-reaction force was deployed to the area
69,The Bosnian War began in as result of the break-up of Yugoslavia
70,The deteriorating situation led to United Nations Security Council Resolution on October ordering no-fly zone over central Bosnia and Herzegovina which NATO began enforcing on April with Operation Deny Flight
71,From June until October Operation Sharp Guard added maritime enforcement of the arms embargo and economic sanctions against the Federal Republic of Yugoslavia
72,On February NATO took its first wartime action by shooting down four Bosnian Serb aircraft violating the no-fly zone
73,On and April the United Nations Protection Force called in air strikes to protect the Goražde safe area resulting in the bombing of Bosnian Serb military command outpost near Goražde by two US F-16 jets acting under NATO direction
74,In retaliation Serbs took
75,personnel hostage on April
76,On April British Sea Harrier was shot down over Goražde by Serb forces
77,In August two-week NATO bombing campaign Operation Deliberate Force began against the Army of the Republika Srpska after the Srebrenica genocide
78,Further NATO air strikes helped bring the Yugoslav Wars to an end resulting in the Dayton Agreement in November
79,As part of this agreement NATO deployed UN-mandated peacekeeping force under Operation Joint Endeavor named IFOR
80,Almost NATO troops were joined by forces from non-NATO nations in this peacekeeping mission
81,This transitioned into the smaller SFOR which started with troops initially and ran from December until December when operations were then passed onto European Union Force Althea
82,Following the lead of its member nations NATO began to award service medal the NATO Medal for these operations
83,In an effort to stop Slobodan Milošević Serbian-led crackdown on KLA separatists and Albanian civilians in Kosovo the United Nations Security Council passed Resolution on September to demand ceasefire
84,Negotiations under US Special Envoy Richard Holbrooke broke down on March and he handed the matter to NATO which started bombing campaign on March
85,Operation Allied Force targeted the military capabilities of what was then the Federal Republic of Yugoslavia
86,During the crisis NATO also deployed one of its international reaction forces the ACE Mobile Force Land to Albania as the Albania Force AFOR to deliver humanitarian aid to refugees from Kosovo
87,Though the campaign was criticized for high civilian casualties including bombing of the Chinese embassy in Belgrade Milošević finally accepted the terms of an international peace plan on June ending the Kosovo War
88,On June Milošević further accepted UN resolution under the mandate of which NATO then helped establish the KFOR peacekeeping force
89,Nearly one million refugees had fled Kosovo and part of KFOR mandate was to protect the humanitarian missions in addition to deterring violence
90,In August–September the alliance also mounted Operation Essential Harvest mission disarming ethnic Albanian militias in the Republic of Macedonia
91,As of December update KFOR soldiers representing countries continue to operate in the area
92,non-primary source needed
93,The US the UK and most other NATO countries opposed efforts to require the UN Security Council to approve NATO military strikes such as the action against Serbia in while France and some others claimed that the alliance needed UN approval
94,The US/UK side claimed that this would undermine the authority of the alliance and they noted that Russia and China would have exercised their Security Council vetoes to block the strike on Yugoslavia and could do the same in future conflicts where NATO intervention was required thus nullifying the entire potency and purpose of the organization
95,Recognizing the post-Cold War military environment NATO adopted the Alliance Strategic Concept during its Washington summit in April that emphasized conflict prevention and crisis management
96,non-primary source needed
97,The September attacks in the United States caused NATO to invoke Article of the NATO Charter for the first time in the organization history
98,The Article states that an attack on any member shall be considered to be an attack on all
99,The invocation was confirmed on October when NATO determined that the attacks were indeed eligible under the terms of the North Atlantic Treaty
100,non-primary source needed The eight official actions taken by NATO in response to the attacks included Operation Eagle Assist and Operation Active Endeavour naval operation in the Mediterranean Sea designed to prevent the movement of terrorists or weapons of mass destruction and to enhance the security of shipping in general which began on October
101,non-primary source needed
102,The alliance showed unity on April NATO agreed to take command of the International Security Assistance Force ISAF which included troops from countries
103,The decision came at the request of Germany and the Netherlands the two nations leading ISAF at the time of the agreement and all nineteen NATO ambassadors approved it unanimously
104,The handover of control to NATO took place on August and marked the first time in NATO history that it took charge of mission outside the north Atlantic area
105,page needed
106,ISAF was initially charged with securing Kabul and surrounding areas from the Taliban al Qaeda and factional warlords so as to allow for the establishment of the Afghan Transitional Administration headed by Hamid Karzai
107,In October the UN Security Council authorized the expansion of the ISAF mission throughout Afghanistan non-primary source needed and ISAF subsequently expanded the mission in four main stages over the whole of the country
108,non-primary source needed
109,On July the ISAF additionally took over military operations in the south of Afghanistan from US-led anti-terrorism coalition
110,Due to the intensity of the fighting in the south in France allowed squadron of Mirage fighter/attack aircraft to be moved into the area to Kandahar in order to reinforce the alliance efforts
111,During its Chicago Summit NATO endorsed plan to end the Afghanistan war and to remove the NATO-led ISAF Forces by the end of December
112,ISAF was disestablished in December and replaced by the follow-on training Resolute Support Mission
113,On April NATO Secretary General Jens Stoltenberg said the alliance had agreed to start withdrawing its troops from Afghanistan by May
114,Soon after the withdrawal of NATO troops started the Taliban launched an offensive against the Afghan government quickly advancing in front of collapsing Afghan Armed Forces
115,By August Taliban militants controlled the vast majority of Afghanistan and had encircled the capital city of Kabul
116,Some politicians in NATO member states have described the chaotic withdrawal of Western troops from Afghanistan and the collapse of the Afghan government as the greatest debacle that NATO has suffered since its founding
117,In August during the Iraq War NATO formed the NATO Training Mission Iraq training mission to assist the Iraqi security forces in conjunction with the US-led MNF-I
118,The NATO Training Mission-Iraq NTM-I was established at the request of the Iraqi Interim Government under the provisions of United Nations Security Council Resolution
119,The aim of NTM-I was to assist in the development of Iraqi security forces training structures and institutions so that Iraq can build an effective and sustainable capability that addresses the needs of the nation
120,NTM-I was not combat mission but is distinct mission under the political control of the North Atlantic Council
121,Its operational emphasis was on training and mentoring
122,The activities of the mission were coordinated with Iraqi authorities and the US-led Deputy Commanding General Advising and Training who was also dual-hatted as the Commander of NTM-I
123,The mission officially concluded on December
124,Turkey invoked the first Article meetings in at the start of the Iraq War
125,Turkey also invoked this article twice in during the Syrian Civil War after the downing of an unarmed Turkish F-4 reconnaissance jet and after mortar was fired at Turkey from Syria and again in after threats by Islamic State of Iraq and the Levant to its territorial integrity
126,Beginning on August NATO deployed warships in an operation to protect maritime traffic in the Gulf of Aden and the Indian Ocean from Somali pirates and help strengthen the navies and coast guards of regional states
127,The operation was approved by the North Atlantic Council and involved warships primarily from the United States though vessels from many other nations were also included
128,Operation Ocean Shield focused on protecting the ships of Operation Allied Provider which were distributing aid as part of the World Food Programme mission in Somalia
129,Russia China and South Korea sent warships to participate in the activities as well
130,non-primary source needed non-primary source needed The operation sought to dissuade and interrupt pirate attacks protect vessels and to increase the general level of security in the region
131,non-primary source needed
132,During the Libyan Civil War violence between protesters and the Libyan government under Colonel Muammar Gaddafi escalated and on March led to the passage of United Nations Security Council Resolution which called for ceasefire and authorized military action to protect civilians
133,coalition that included several NATO members began enforcing no-fly zone over Libya shortly afterwards beginning with Opération Harmattan by the French Air Force on March
134,On March NATO states agreed on enforcing an arms embargo against Libya with Operation Unified Protector using ships from NATO Standing Maritime Group and Standing Mine Countermeasures Group and additional ships and submarines from NATO members
135,They would monitor report and if needed interdict vessels suspected of carrying illegal arms or mercenaries
136,On March NATO agreed to take control of the no-fly zone from the initial coalition while command of targeting ground units remained with the coalition forces
137,NATO began officially enforcing the UN resolution on March with assistance from Qatar and the United Arab Emirates
138,By June reports of divisions within the alliance surfaced as only eight of the member nations were participating in combat operations resulting in confrontation between US Defense Secretary Robert Gates and countries such as Poland Spain the Netherlands Turkey and Germany with Gates calling on the latter to contribute more and the latter believing the organization has overstepped its mandate in the conflict
139,In his final policy speech in Brussels on June Gates further criticized allied countries in suggesting their actions could cause the demise of NATO
140,The German foreign ministry pointed to considerable German contribution to NATO and NATO-led operations and to the fact that this engagement was highly valued by President Obama
141,While the mission was extended into September Norway that day June announced it would begin scaling down contributions and complete withdrawal by August
142,Earlier that week it was reported Danish air fighters were running out of bombs
143,The following week the head of the Royal Navy said the country operations in the conflict were not sustainable
144,By the end of the mission in October after the death of Colonel Gaddafi NATO planes had flown about strike sorties against pro-Gaddafi targets
145,report from the organization Human Rights Watch in May identified at least civilians killed in the campaign
146,Following coup état attempt in October Libyan Prime Minister Ali Zeidan requested technical advice and trainers from NATO to assist with ongoing security issues
147,NATO has thirty members mainly in Europe and North America
148,Some of these countries also have territory on multiple continents which can be covered only as far south as the Tropic of Cancer in the Atlantic Ocean which defines NATO area of responsibility under Article of the North Atlantic Treaty
149,During the original treaty negotiations the United States insisted that colonies such as the Belgian Congo be excluded from the treaty
150,French Algeria was however covered until their independence on July
151,Twelve of these thirty are original members who joined in while the other eighteen joined in one of eight enlargement rounds
152,Few members spend more than two per cent of their gross domestic product on defence with the United States accounting for three quarters of NATO defence spending
153,The three Scandinavian members Denmark Iceland and Norway which joined NATO as founding members chose to limit their participation in three areas there would be no permanent peacetime bases no nuclear warheads and no Allied military activity unless invited permitted on their territory
154,However Denmark allowed the
155,Air Force to maintain an existing base Thule Air Base in Greenland
156,From the mid-1960s to the mid-1990s France pursued military strategy of independence from NATO under policy dubbed Gaullo-Mitterrandism
157,Nicolas Sarkozy negotiated the return of France to the integrated military command and the Defence Planning Committee in the latter being disbanded the following year
158,France remains the only NATO member outside the Nuclear Planning Group and unlike the United States and the United Kingdom will not commit its nuclear-armed submarines to the alliance
159,Accession to the alliance is governed with individual Membership Action Plans and requires approval by each current member
160,NATO currently has one candidate country that is in the process of joining the alliance Bosnia and Herzegovina
161,North Macedonia is the most recent state to sign an accession protocol to become NATO member state which it did in February and became member state on March
162,Its accession had been blocked by Greece for many years due to the Macedonia naming dispute which was resolved in by the Prespa agreement
163,In order to support each other in the process new and potential members in the region formed the Adriatic Charter in
164,Georgia was also named as an aspiring member and was promised future membership during the summit in Bucharest though in US President Barack Obama said the country was not currently on path to membership
165,Ukraine relationship with NATO and Europe has been politically controversial and improvement of these relations was one of the goals of the Euromaidan protests that saw the ousting of pro-Russian President Viktor Yanukovych in
166,Ukraine is one of eight countries in Eastern Europe with an Individual Partnership Action Plan
167,IPAPs began in and are open to countries that have the political will and ability to deepen their relationship with NATO
168,On February the Constitution of Ukraine was amended the norms on the strategic course of Ukraine for membership in the European Union and NATO are enshrined in the preamble of the Basic Law three articles and transitional provisions
169,At the June Brussels Summit NATO leaders reiterated the decision taken at the Bucharest Summit that Ukraine would become member of the Alliance with the Membership Action Plan MAP as an integral part of the process and Ukraine right to determine its own future and foreign policy of course without outside interference
170,On November Russian President Vladimir Putin stated that an expansion of NATO presence in Ukraine especially the deployment of any long-range missiles capable of striking Russian cities or missile defence systems similar to those in Romania and Poland would be red line issue for Russia
171,Putin asked
172,President Joe Biden for legal guarantees that NATO would not expand eastward or put weapons systems that threaten us in close vicinity to Russian territory
173,NATO Secretary-General Jens Stoltenberg replied that It only Ukraine and NATO allies that decide when Ukraine is ready to join NATO
174,Russia has no veto Russia has no say and Russia has no right to establish sphere of influence to try to control their neighbors
175,Following the Russian invasion of Ukraine public opinion in Finland and in Sweden swung sharply in favor of joining NATO with more citizens supporting NATO membership than those who were opposed to it for the first time
176,poll on March revealed that about of Finns were in favor of NATO membership as opposed to against and uncertain
177,poll on April revealed that about of Swedes were in favor of NATO membership as opposed to against
178,The Finnish Parliament decided to debate the issue of NATO membership later that year
179,Analysts expected Finland and Sweden to coordinate their decisions on NATO membership similar to how they coordinated their decision to join the EU in though Finland may join little sooner
180,In mid-April the governments of Finland and Sweden began exploring NATO membership with their governments commissioning security reports on this subject and set to begin debate soon
181,Analysts believed that it was likely both Finland and Sweden would be joining NATO with both countries potentially filing their applications for membership as early as June
182,Finland and Sweden would likely have their NATO accession fast-tracked if their applications are approved which could take as little as few months
183,In late April Finnish news outlet reported that both Finland and Sweden had agreed to apply for NATO membership in May though neither government had reached final decision yet
184,The addition of the two Nordic countries would significantly expand NATO capabilities in the Arctic Nordic and Baltic regions
185,The potential membership of Finland and Sweden is seen as the most significant NATO expansion since which saw the addition of the Baltic states
186,Russia continues to politically oppose further expansion seeing it as inconsistent with informal understandings between Soviet leader Mikhail Gorbachev and European and US negotiators that allowed for peaceful German reunification
187,NATO expansion efforts are often seen by Moscow leaders as continuation of Cold War attempt to surround and isolate Russia though they have also been criticized in the West
188,June Levada poll found that per cent of Russians think that deploying NATO troops in the Baltic states and Poland former Eastern bloc countries bordering Russia is threat to Russia
189,In contrast per cent of Poles surveyed in Pew Research Center report identified Russia as major threat with an average of per cent saying so across all NATO countries and per cent of Poles surveyed in favour US forces being based in Poland
190,Of non-CIS Eastern European countries surveyed by Gallup in all but Serbia and Montenegro were more likely than not to view NATO as protective alliance rather than threat
191,study in the journal Security Studies argued that NATO enlargement contributed to democratic consolidation in Central and Eastern Europe
192,China also opposes further expansion
193,The Partnership for Peace PfP programme was established in and is based on individual bilateral relations between each partner country and NATO each country may choose the extent of its participation
194,Members include all current and former members of the Commonwealth of Independent States
195,The Euro-Atlantic Partnership Council EAPC was first established on May and is forum for regular coordination consultation and dialogue between all fifty participants
196,The PfP programme is considered the operational wing of the Euro-Atlantic Partnership
197,Other third countries also have been contacted for participation in some activities of the PfP framework such as Afghanistan
198,The European Union EU signed comprehensive package of arrangements with NATO under the Berlin Plus agreement on December
199,With this agreement the EU was given the possibility of using NATO assets in case it wanted to act independently in an international crisis on the condition that NATO itself did not want to act the so-called right of first refusal
200,For example Article of the Treaty of Lisbon specifies that If Member State is the victim of armed aggression on its territory the other Member States shall have towards it an obligation of aid and assistance by all the means in their power
201,The treaty applies globally to specified territories whereas NATO is restricted under its Article to operations north of the Tropic of Cancer
202,It provides double framework for the EU countries that are also linked with the PfP programme
203,citation needed
204,Additionally NATO cooperates and discusses its activities with numerous other non-NATO members
205,The Mediterranean Dialogue was established in to coordinate in similar way with Israel and countries in North Africa
206,The Istanbul Cooperation Initiative was announced in as dialogue forum for the Middle East along the same lines as the Mediterranean Dialogue
207,The four participants are also linked through the Gulf Cooperation Council
208,In June Qatar expressed its wish to join NATO
209,However NATO declined membership stating that only additional European countries could join according to Article of NATO founding treaty
210,Qatar and NATO have previously signed security agreement together in January
211,Political dialogue with Japan began in and since then the Alliance has gradually increased its contact with countries that do not form part of any of these cooperation initiatives
212,In NATO established set of general guidelines that do not allow for formal institutionalization of relations but reflect the Allies desire to increase cooperation
213,Following extensive debate the term Contact Countries was agreed by the Allies in
214,By the Alliance had broadened this group which meets to discuss issues such as counter-piracy and technology exchange under the names partners across the globe or global partners
215,Australia and New Zealand both contact countries are also members of the AUSCANNZUKUS strategic alliance and similar regional or bilateral agreements between contact countries and NATO members also aid cooperation
216,NATO Secretary General Jens Stoltenberg stated that NATO needs to address the rise of China by closely cooperating with Australia New Zealand Japan and South Korea
217,Colombia is NATO latest partner and Colombia has access to the full range of cooperative activities NATO offers to partners Colombia became the first and only Latin American country to cooperate with NATO
218,All agencies and organizations of NATO are integrated into either the civilian administrative or military executive roles
219,For the most part they perform roles and functions that directly or indirectly support the security role of the alliance as whole
220,The civilian structure includes
221,The military structure includes
222,The organizations and agencies of NATO include
223,The NATO Parliamentary Assembly NATO PA is body that sets broad strategic goals for NATO which meets at two session per year
224,NATO PA interacts directly with the parliamentary structures of the national governments of the member states which appoint Permanent Members or ambassadors to NATO
225,The NATO Parliamentary Assembly is made up of legislators from the member countries of the North Atlantic Alliance as well as thirteen associate members
226,It is however officially different structure from NATO and has as aim to join deputies of NATO countries in order to discuss security policies on the NATO Council
227,citation needed
228,NATO is an alliance of sovereign nations but their individual sovereignty is unaffected by participation in the alliance
229,NATO has no parliaments no laws no enforcement and no power to punish individual citizens
230,As consequence of this lack of sovereignty the power and authority of NATO commander are limited
231,NATO commanders cannot punish offences such as failure to obey lawful order dereliction of duty or disrespect to senior officer
232,NATO commanders expect obeisance but sometimes need to subordinate their desires or plans to the operators who are themselves subject to sovereign codes of conduct like the UCMJ
233,case in point was the clash between General Sir Mike Jackson and General Wesley Clark over KFOR actions at Pristina Airport
234,NATO commanders can issue orders to their subordinate commanders in the form of operational plans OPLANs operational orders OPORDERs tactical direction or fragmental orders FRAGOs and others
235,The joint rules of engagement must be followed and the Law of Armed Conflict must be obeyed at all times
236,Operational resources remain under national command but have been transferred temporarily to NATO
237,Although these national units through the formal process of transfer of authority have been placed under the operational command and control of NATO commander they never lose their national character
238,Senior national representatives like CDS are designated as so-called red-cardholders
239,Caveats are restrictions listed nation by nation
240,that NATO Commanders
241,must take into account
